epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,258.146,1.61787,5.23567,1.74413,0.61786,0.62809,0.69111,0.44054,1.2968,1.81442,1.53142,0.000121963,0.000121963,0.000121963
2,520.807,1.19788,1.83604,1.42607,0.85978,0.87257,0.93052,0.6654,1.10451,0.89671,1.49284,0.000243273,0.000243273,0.000243273
3,788.661,1.1014,1.34244,1.37966,0.92281,0.8911,0.9497,0.69354,1.01583,0.78142,1.46522,0.000362547,0.000362547,0.000362547
4,1081.17,1.08372,1.17689,1.38616,0.89664,0.89259,0.95516,0.68212,1.02999,0.76348,1.50271,0.000360842,0.000360842,0.000360842
5,1373.29,1.07169,1.06732,1.38671,0.93656,0.92138,0.96865,0.74303,0.89427,0.64599,1.38689,0.00035779,0.00035779,0.00035779
6,1668.76,1.00938,0.93307,1.34068,0.9548,0.91998,0.97279,0.71276,1.02482,0.62318,1.45991,0.000354737,0.000354737,0.000354737
7,1931.6,0.96264,0.86008,1.31025,0.96345,0.94089,0.97798,0.74316,0.91144,0.58875,1.35992,0.000351685,0.000351685,0.000351685
8,2260.07,0.94834,0.83315,1.31826,0.96068,0.95749,0.98115,0.78409,0.80209,0.48978,1.32135,0.000348632,0.000348632,0.000348632
9,2538.48,0.91194,0.79067,1.29117,0.9479,0.92893,0.97148,0.75231,0.86727,0.56422,1.3699,0.00034558,0.00034558,0.00034558
10,2841.09,0.88232,0.77158,1.26213,0.97847,0.97699,0.99009,0.77252,0.86552,0.46408,1.32387,0.000342528,0.000342528,0.000342528
11,3116.32,0.86578,0.70956,1.25633,0.95191,0.96466,0.98455,0.78766,0.79972,0.4684,1.2973,0.000339475,0.000339475,0.000339475
12,3402.28,0.85299,0.70055,1.23437,0.96549,0.95547,0.98463,0.7758,0.81227,0.47356,1.31058,0.000336423,0.000336423,0.000336423
13,3683.58,0.82755,0.66465,1.23106,0.97682,0.98167,0.98786,0.78889,0.80321,0.433,1.29745,0.00033337,0.00033337,0.00033337
14,3984.44,0.80746,0.64538,1.21109,0.98554,0.96527,0.98837,0.82337,0.71026,0.40273,1.23112,0.000330317,0.000330317,0.000330317
15,4267.04,0.79638,0.63645,1.21165,0.96776,0.95068,0.9813,0.81037,0.72518,0.43733,1.22773,0.000327265,0.000327265,0.000327265
16,4542.78,0.77884,0.61959,1.20418,0.97231,0.97431,0.99024,0.81942,0.69738,0.39937,1.21128,0.000324212,0.000324212,0.000324212
17,4821.33,0.76912,0.62821,1.19344,0.96511,0.98025,0.98817,0.81833,0.71717,0.38475,1.22722,0.00032116,0.00032116,0.00032116
18,5103.34,0.76363,0.60102,1.18394,0.97402,0.96647,0.98519,0.83067,0.67625,0.38958,1.20514,0.000318107,0.000318107,0.000318107
19,5361.54,0.74249,0.59555,1.17252,0.97288,0.97719,0.98975,0.81641,0.73188,0.38271,1.22813,0.000315055,0.000315055,0.000315055
20,5648.17,0.73367,0.57438,1.16463,0.97955,0.96899,0.99042,0.84141,0.6645,0.36288,1.18005,0.000312003,0.000312003,0.000312003
21,5917.76,0.72912,0.55482,1.16148,0.98238,0.97381,0.99271,0.84026,0.68092,0.35486,1.19487,0.00030895,0.00030895,0.00030895
22,6202.32,0.73563,0.56076,1.16625,0.97878,0.97857,0.99095,0.84144,0.65698,0.34821,1.1901,0.000305897,0.000305897,0.000305897
23,6482.12,0.71066,0.54622,1.15165,0.97688,0.98211,0.99288,0.84416,0.66869,0.34709,1.19736,0.000302845,0.000302845,0.000302845
