epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.6051,1.44288,6.79629,1.59582,0.86695,0.22289,0.29519,0.2365,0.76089,4.33253,1.08168,0.000111,0.000111,0.000111
2,177.067,1.04698,2.081,1.26908,0.85068,0.31452,0.53721,0.44961,0.74693,2.29951,1.10081,0.000223838,0.000223838,0.000223838
3,260.452,0.95224,1.54439,1.2445,0.63574,0.54116,0.68374,0.56774,0.76593,1.81693,1.14736,0.000334783,0.000334783,0.000334783
4,351.112,0.89828,1.21144,1.22797,0.5638,0.76679,0.76908,0.63768,0.72404,1.30116,1.12112,0.000360842,0.000360842,0.000360842
5,434.49,0.87304,1.08699,1.19764,0.67865,0.74488,0.8343,0.70742,0.71045,1.16497,1.10231,0.00035779,0.00035779,0.00035779
6,522.023,0.82043,0.9588,1.18545,0.81545,0.85627,0.93476,0.79128,0.72389,0.78547,1.10901,0.000354737,0.000354737,0.000354737
7,599.484,0.79435,0.87167,1.15798,0.71991,0.91371,0.92592,0.79487,0.65145,1.04909,1.10093,0.000351685,0.000351685,0.000351685
8,682.286,0.78573,0.79964,1.15,0.87384,0.9041,0.95224,0.8241,0.65045,0.71558,1.09563,0.000348632,0.000348632,0.000348632
9,765.355,0.75093,0.73979,1.12916,0.77894,0.86485,0.92898,0.79243,0.69953,0.832,1.11118,0.00034558,0.00034558,0.00034558
10,854.357,0.72073,0.72448,1.13456,0.85524,0.90102,0.95316,0.85093,0.57323,0.64152,1.05486,0.000342528,0.000342528,0.000342528
11,935.77,0.70976,0.66297,1.11317,0.87488,0.88282,0.98186,0.86492,0.58103,0.62724,1.05799,0.000339475,0.000339475,0.000339475
12,1021.99,0.69478,0.65527,1.08913,0.87293,0.93959,0.97982,0.86877,0.58233,0.50651,1.04927,0.000336423,0.000336423,0.000336423
13,1108.38,0.67882,0.6134,1.08055,0.8625,0.95505,0.97927,0.87268,0.53857,0.59694,1.02224,0.00033337,0.00033337,0.00033337
14,1194.22,0.66604,0.62319,1.09181,0.81313,0.93516,0.97598,0.81851,0.71567,0.68753,1.13225,0.000330317,0.000330317,0.000330317
15,1275.8,0.65666,0.60586,1.06421,0.84285,0.93648,0.96726,0.85879,0.5335,0.59837,1.02832,0.000327265,0.000327265,0.000327265
16,1365.19,0.63934,0.54982,1.05365,0.95813,0.96768,0.99196,0.89006,0.54351,0.42357,1.02663,0.000324212,0.000324212,0.000324212
17,1442.15,0.63397,0.55303,1.05362,0.89698,0.95187,0.9835,0.87731,0.52035,0.47794,1.01054,0.00032116,0.00032116,0.00032116
18,1527.39,0.625,0.5566,1.05084,0.94381,0.89949,0.98555,0.84465,0.65273,0.5214,1.09343,0.000318107,0.000318107,0.000318107
19,1607.52,0.60247,0.52251,1.03855,0.83372,0.93642,0.96569,0.84034,0.60872,0.51641,1.06424,0.000315055,0.000315055,0.000315055
20,1692.27,0.59495,0.5051,1.02111,0.94086,0.96394,0.99274,0.88859,0.52848,0.39157,1.01624,0.000312003,0.000312003,0.000312003
21,1769.15,0.60377,0.51542,1.02982,0.92051,0.92297,0.98543,0.89215,0.50971,0.45966,0.98581,0.00030895,0.00030895,0.00030895
22,1857.13,0.5824,0.50143,1.03122,0.89421,0.9421,0.97574,0.87883,0.49834,0.40622,0.99141,0.000305897,0.000305897,0.000305897
23,1933.7,0.58187,0.49894,1.01807,0.93531,0.95469,0.98894,0.88329,0.51217,0.40131,0.99852,0.000302845,0.000302845,0.000302845
24,2020.22,0.59122,0.489,1.02653,0.93626,0.94513,0.98677,0.88883,0.50002,0.40614,0.99718,0.000299793,0.000299793,0.000299793
